001.221;+17.295;       1;  1; ; ; ;B;   ;00 02 19.0; 4;  ;+17 01.0; 7; ;    8.0; ;  2.0; ; ;    ;    ;    ;
001.595; -0.105;       2;  2; ; ; ;A;   ;00 03 49.0; 5;  ;-00 23.0; 7;);   16.5; ;  4.5; ; ;    ;    ;    ;MSH 00-01
001.915; -6.238;       3;  3; ; ; ;A;   ;00 05 06.0; 5;  ;-06 31.0;10; ;   11.0; ;  3.0; ; ;    ;    ;    ;MSH 00-02
002.585;+33.045;       4;  4;); ; ;A;   ;00 07 45.0; 8;  ;+32 46.0; 5;);   10.5; ;  2.0;); ;    ;    ;    ;
003.328; +1.061;       5;  5; ; ; ;B;   ;00 10 45.0; 4;  ;+00 47.0;10;);    8.0; ;  2.5; ; ;    ;    ;    ;MSH 00+02
003.362;+30.361;       6;  6;); ; ;A;   ;00 10 51.0;10;  ;+30 05.0; 3; ;   16.5; ;  2.5;); ;    ;    ;    ;2C 15 ^ ->
004.906; -4.356;       7;  7; ; ; ;B;   ;00 17 04.0; 2;  ;-04 38.0; 9;);   13.5; ;  2.5; ; ;    ;    ;    ;MSH 00-03? 00-04?
005.046; -8.306;       8;  8;); ; ;B;   ;00 17 38.0;10;  ;-08 35.0;11;);    9.0; ;  2.0;); ;    ;    ;    ;
005.105;+15.661;       9;  9; ; ; ;A;   ;00 17 50.0; 5;  ;+15 23.0; 8; ;   15.5; ;  2.5; ; ;    ;    ;    ;2C 26->
006.355;+64.143;      10; 10; ;+;*;A;   ;00 22 37.0; 2;  ;+63 52.0; 2; ;  110.0; ; 17.0; ; ; 5.4; 0.5;    ;2C 34: Tycho Brahe's S.N.
007.300;+21.176;      11; 11; ; ; ;A;   ;00 26 35.0; 4;  ;+20 54.0; 6; ;   10.5; ;  3.5; ; ;    ;    ;    ;
008.179;+19.992;      12; 12; ; ; ;A;   ;00 30 06.0; 4;  ;+19 43.0; 6;);    9.5; ;  1.5; ; ;    ;    ;    ;
008.569;+39.325;      13; 13; ; ;*;A; <-;00 31 35.0; 5;  ;+39 03.0; 4;);   12.0; ;  3.0; ; ;    ;    ;    ;2C 42 <-
009.051;+18.692;      14; 14; ; ; ;A;   ;00 33 35.0; 3;  ;+18 25.0; 7; ;   13.5; ;  2.0; ; ;    ;    ;    ;2C 44 ^
